gene_IDs	gene_names	slope	action	essentiality
YAL060W	BDH1	1	OE	nonessential
YLR044C	PDC1	1	OE	nonessential
YPR138C	MEP3	0.108214212869475	KD	nonessential
YPL134C	ODC1	0.0535379711637342	KD	nonessential
YOL126C	MDH2	0.0369493609912133	KD	nonessential
YNR001C	CIT1	0.0293684028722008	KD	nonessential
YKL085W	MDH1	0.0270642366092374	KD	nonessential
YHL012W	YHL012W	0.0250206805136649	KD	nonessential
YMR105C	PGM2	0.0250206805136649	KD	nonessential
YKL067W	YNK1	0.0220466844705913	KD	essential
YDL141W	BPL1	0.0200222296399882	KD	essential
YNR016C	ACC1	0.0200222296399882	KD	essential
YGL202W	ARO8	0.0171308407450131	KD	nonessential
YPR035W	GLN1	0.0156791834795821	KD	essential
YHR137W	ARO9	0.0145297804100268	KD	nonessential
YPR021C	AGC1	0.0127895419403565	KD	nonessential
YMR306W	FKS3	0.0124996862503685	KD	nonessential
YPR165W	RHO1	0.0124996862503685	KD	essential
YDL055C	PSA1	0.011872283647494	KD	essential
YDL093W	PMT5	0.011872283647494	KD	nonessential
YER003C	PMI40	0.011872283647494	KD	essential
YFL045C	SEC53	0.011872283647494	KD	essential
YPR183W	DPM1	0.011872283647494	KD	essential
YHR208W	BAT1	0.0108976466036679	KD	essential
YIL074C	SER33	0.00957650340849486	KD	nonessential
YOR335C	ALA1	0.00891237069379375	KD	essential
YLR058C	SHM2	0.00864670963528701	KD	nonessential
YJR016C	ILV3	0.00732206659029429	KD	essential
YLR355C	ILV5	0.00732206659029429	KD	essential
YMR108W	ILV2	0.00732206659029429	KD	essential
YFR015C	GSY1	0.00603541010619642	KD	nonessential
YKR058W	GLG1	0.00603541010619642	KD	nonessential
YGL245W	GUS1	0.00586258425838566	KD	essential
YJR148W	BAT2	0.00585521700953179	KD	essential
YLL018C	DPS1	0.00577905509604054	KD	essential
YCL018W	LEU2	0.00575768709000965	KD	essential
YGL009C	LEU1	0.00575768709000965	KD	essential
YNL104C	LEU4	0.00575768709000965	KD	nonessential
YPL160W	CDC60	0.00575768709000965	KD	essential
YPR081C	GRS2	0.00564113448772903	KD	nonessential
YER099C	PRS2	0.00559070488791326	KD	nonessential
YKL181W	PRS1	0.00559070488791326	KD	nonessential
YBR115C	LYS2	0.00555954760824043	KD	essential
YDL131W	LYS21	0.00555954760824043	KD	nonessential
YDR037W	KRS1	0.00555954760824043	KD	essential
YDR234W	LYS4	0.00555954760824043	KD	essential
YER152C	YER152C	0.00555954760824043	KD	nonessential
YGL154C	LYS5	0.00555954760824043	KD	essential
YIL094C	LYS12	0.00555954760824043	KD	essential
YIR034C	LYS1	0.00555954760824043	KD	essential
YJL200C	ACO2	0.00555954760824043	KD	nonessential
YNR050C	LYS9	0.00555954760824043	KD	essential
YOR222W	ODC2	0.00555954760824043	KD	nonessential
YPL262W	FUM1	0.00524716472791618	KD	nonessential
YDR127W	ARO1	0.00523785439576234	KD	essential
YGL148W	ARO2	0.00523785439576234	KD	essential
YGR204W	ADE3	0.00523295021587484	KD	essential
YGR094W	VAS1	0.0051399595136583	KD	essential
YJL130C	URA2	0.00493568859462742	KD	essential
YOL064C	MET22	0.00485161325238819	KD	nonessential
YPR060C	ARO7	0.00458245052130374	KD	essential
YPR192W	AQY1	0.00419727078102753	KD	nonessential
YPR159W	KRE6	0.00417637053385152	KD	nonessential
YBL076C	ILS1	0.0037432734637567	KD	essential
YNL065W	AQR1	0.0037432734637567	KD	nonessential
YML075C	HMG1	0.00374188314936309	KD	nonessential
YML126C	ERG13	0.00374188314936309	KD	essential
YMR208W	ERG12	0.00374188314936309	KD	essential
YMR220W	ERG8	0.00374188314936309	KD	essential
YNR043W	MVD1	0.00374188314936309	KD	essential
YPL028W	ERG10	0.00374188314936309	KD	essential
